layers,learn rate,epochs,batch size,training cost,test cost,training accuracy,test accuracy,training time,training time per epoch
[4],0.001,15,32,0.6887109875679016,0.6882957816123962,0.5389114583333333,0.5404,346.63,23.108666666666668
"[4, 4]",0.001,15,32,0.6886798739433289,0.6884150505065918,0.539515625,0.5408625,397.98,26.532
"[4, 4, 4]",0.001,15,32,0.6885395050048828,0.6881997585296631,0.53989375,0.5419458333333333,429.69,28.646
[8],0.001,15,32,0.6884793639183044,0.6880889534950256,0.5399625,0.5413,321.07,21.404666666666667
"[8, 8]",0.001,15,32,0.6886036396026611,0.6882635951042175,0.5393572916666667,0.5410625,371.49,24.766
"[8, 8, 8]",0.001,15,32,0.6887626051902771,0.6884283423423767,0.5388104166666666,0.540375,411.28,27.418666666666663
"[8, 4, 4]",0.001,15,32,0.6886319518089294,0.6883057951927185,0.539175,0.5409916666666666,412.53,27.502
[16],0.001,15,32,0.6884196400642395,0.6880834698677063,0.5400114583333333,0.5413958333333333,320.56,21.37066666666667
"[16, 16]",0.001,15,32,0.6885440945625305,0.6882184743881226,0.5395885416666667,0.5411708333333334,1714.21,114.28066666666668
"[16, 16, 16]",0.001,15,32,0.6886889338493347,0.6883673667907715,0.5390916666666666,0.5404166666666667,419.5,27.966666666666665
"[16, 8, 4]",0.001,15,32,0.6887643933296204,0.6884369850158691,0.539065625,0.539325,420.27,28.018
[32],0.001,15,32,0.6882563233375549,0.6880328059196472,0.5407895833333334,0.5411625,331.21,22.080666666666666
"[32, 32]",0.001,15,32,0.6884875893592834,0.6881735920906067,0.53965,0.5402791666666666,390.52,26.034666666666663
"[32, 16]",0.001,15,32,0.6884652972221375,0.688129723072052,0.5398333333333334,0.5410958333333333,384.71,25.64733333333333
"[32, 8]",0.001,15,32,0.6884059906005859,0.6881759166717529,0.53985625,0.5410041666666666,391.9,26.126666666666665
"[32, 16, 8]",0.001,15,32,0.6886812448501587,0.6884039044380188,0.5392197916666667,0.5414166666666667,431.52,28.768
"[32, 8, 4]",0.001,15,32,0.6894207000732422,0.6893351078033447,0.5363270833333333,0.5373208333333334,427.56,28.504
[64],0.001,15,32,0.688274621963501,0.688003659248352,0.5409604166666667,0.5413166666666667,343.19,22.87933333333333
"[64, 16]",0.001,15,32,0.688360869884491,0.6881135702133179,0.5404010416666667,0.54085,394.42,26.294666666666668
"[64, 16, 8]",0.001,15,32,0.6885364651679993,0.6882140636444092,0.5397322916666667,0.5403833333333333,439.99,29.332666666666668
"[64, 16, 8, 4]",0.001,15,32,0.6885061860084534,0.6882011890411377,0.539753125,0.5409,477.86,31.857333333333333
