class type,layers,hidden_dims,training loss,training accuracy,test cost,test accuracy,training time,background precision,background recall,signal precision,signal recall,training time per epoch,epochs
GCN,3,32,2.762545307985941,0.5290395617485046,2.76121173210144,0.5305291414260864,100.19910388666668,0.52,0.59,0.54,0.47,100.19910388666668,15
GCN,3,64,2.762416281954448,0.5293177366256714,2.7613707959493,0.5300541520118713,107.12519890000004,0.52,0.6,0.54,0.46,107.12519890000004,15
GCN,3,128,2.762383961518605,0.5290833115577698,2.7611638885498047,0.5299791693687439,124.50201243333336,0.53,0.56,0.53,0.5,124.50201243333336,15
GCN,4,32,2.7624329195022583,0.5292229056358337,2.7610659912109377,0.5305250287055969,116.42262468666657,0.53,0.58,0.54,0.49,116.42262468666657,15
GCN,4,64,2.762391975371043,0.5292291641235352,2.7616198799133302,0.529658317565918,126.25971121999996,0.52,0.61,0.54,0.45,126.25971121999996,15
GCN,4,128,2.7623408544540404,0.5292187333106995,2.761427353286744,0.5296791791915894,152.88509345333344,0.52,0.59,0.54,0.47,152.88509345333344,15
GAT,3,32,2.7612440735816954,0.5310218930244446,2.760958130900065,0.5305916666984558,138.89648368666676,0.52,0.61,0.54,0.45,138.89648368666676,15
GAT,3,64,2.7608484004974367,0.53177809715271,2.7597797578175864,0.5325166583061218,150.58799066666663,0.53,0.55,0.54,0.52,150.58799066666663,15
GAT,3,128,2.7605888405164083,0.5321770906448364,2.759890418116252,0.5317875146865845,161.99188009333326,0.53,0.58,0.54,0.49,161.99188009333326,15
GAT,4,32,2.760992610994975,0.5312239527702332,2.7599574591318765,0.531583309173584,153.11005877999995,0.53,0.55,0.54,0.51,153.11005877999995,15
GAT,4,64,2.7606395276387534,0.5319656133651733,2.760179086558024,0.5313083529472351,166.40742980666667,0.53,0.53,0.53,0.53,166.40742980666667,15
GAT,4,128,2.760572021102905,0.5323291420936584,2.7604225620269776,0.5324583053588867,199.9888036466667,0.53,0.61,0.54,0.46,199.9888036466667,15
SAGE,3,32,2.7588731782913207,0.5339822769165039,2.759550663248698,0.5334166884422302,101.03636217333332,0.52,0.66,0.55,0.4,101.03636217333332,15
SAGE,3,64,2.756146681435903,0.537082314491272,2.757503167851766,0.5362291932106018,112.66539155333302,0.54,0.44,0.53,0.63,112.66539155333302,15
SAGE,3,128,2.754943911552429,0.5388875007629395,2.756480460230509,0.5372083187103271,146.17576176000003,0.53,0.6,0.55,0.47,146.17576176000003,15
SAGE,4,32,2.757473555533091,0.5359854102134705,2.756521331532796,0.5363500118255615,112.52399154000014,0.54,0.5,0.54,0.57,112.52399154000014,15
SAGE,4,64,2.7539825552940367,0.5396375060081482,2.754552442932129,0.5388625264167786,124.3305819999999,0.54,0.55,0.54,0.53,124.3305819999999,15
SAGE,4,128,2.7501027205467223,0.5430708527565002,2.754816567484538,0.5393999814987183,150.80882749333298,0.53,0.58,0.55,0.50,150.80882749333298,15
